"State","Max AQI","County","Unhealthy Days","Days CO","Days NO2","Days Ozone","Days PM2.5","Days PM10"
"Louisiana",84,"St. James",0,0,0,267,0,0
"Louisiana",87,"St. John the Baptist",0,0,0,273,0,0
"Louisiana",77,"St. Martin",0,0,0,271,0,0
"Louisiana",105,"St. Tammany",0,0,0,271,0,0
"Louisiana",63,"Tangipahoa",0,0,0,0,62,0
"Louisiana",66,"Terrebonne",0,0,0,0,61,0
"Louisiana",112,"West Baton Rouge",0,0,0,64,209,0
"Maine",112,"Androscoggin",0,0,0,176,123,5
"Maine",131,"Aroostook",0,1,0,100,72,9
"Maine",136,"Cumberland",0,0,0,169,128,7
"Maine",133,"Hancock",0,0,0,274,30,0
"Maine",96,"Kennebec",0,0,0,176,128,0
"Maine",77,"Knox",0,0,0,301,0,0
"Maine",135,"Oxford",0,0,0,105,199,0
"Maine",115,"Penobscot",0,0,0,200,99,4
"Maine",108,"Sagadahoc",0,0,0,217,0,0
"Maine",100,"Washington",0,0,0,242,44,0
"Maine",169,"York",1,0,0,304,0,0
"Maryland",119,"Anne Arundel",0,0,0,238,0,11
"Maryland",129,"Baltimore",0,0,0,212,92,0
"Maryland",136,"Baltimore (City)",0,0,1,179,123,0
"Maryland",77,"Calvert",0,0,0,240,0,0
"Maryland",90,"Carroll",0,0,0,238,0,0
"Maryland",129,"Cecil",0,0,0,210,94,0
"Maryland",97,"Charles",0,0,0,236,0,0
"Maryland",84,"Dorchester",0,0,0,241,61,0
"Maryland",93,"Frederick",0,0,0,237,0,0
"Maryland",80,"Garrett",0,0,1,214,88,0
"Maryland",143,"Harford",0,0,0,205,98,0
"Maryland",78,"Howard",0,3,31,0,240,0
"Maryland",129,"Kent",0,0,0,206,93,0
"Maryland",90,"Montgomery",0,0,0,203,100,0
"Maryland",126,"Prince George's",0,0,0,254,50,0
"Maryland",90,"Washington",0,0,0,197,107,0
"Massachusetts",129,"Barnstable",0,0,0,241,0,0
"Massachusetts",124,"Berkshire",0,0,1,157,85,0
"Massachusetts",119,"Bristol",0,0,0,195,48,0
"Massachusetts",151,"Dukes",1,0,0,206,4,0
"Massachusetts",136,"Essex",0,0,0,181,62,0
"Massachusetts",114,"Franklin",0,0,0,144,99,0
"Massachusetts",124,"Hampden",0,0,7,155,86,0
"Massachusetts",117,"Hampshire",0,0,0,182,60,1
"Massachusetts",105,"Middlesex",0,0,1,152,90,0
"Massachusetts",126,"Norfolk",0,0,0,197,46,0
"Massachusetts",108,"Plymouth",0,0,0,174,69,0
"Massachusetts",106,"Suffolk",0,0,9,105,138,1
"Massachusetts",100,"Worcester",0,1,0,176,66,1
"Michigan",151,"Allegan",1,0,0,214,88,0
"Michigan",99,"Bay",0,0,0,0,181,0
"Michigan",80,"Benzie",0,0,0,214,0,0
"Michigan",147,"Berrien",0,0,0,262,0,0
"Michigan",115,"Cass",0,0,0,224,0,0
"Michigan",119,"Clinton",0,0,0,204,0,0
"Michigan",126,"Genesee",0,0,0,220,83,0
"Michigan",108,"Huron",0,0,0,212,0,0
"Michigan",123,"Ingham",0,0,1,223,78,2
"Michigan",133,"Kalamazoo",0,0,0,183,121,0
"Michigan",138,"Kent",0,0,2,154,147,1
"Michigan",27,"Keweenaw",0,0,0,0,19,0
"Michigan",147,"Lenawee",0,0,0,188,116,0
"Michigan",166,"Macomb",1,0,0,218,85,0
"Michigan",152,"Manistee",1,0,0,193,111,0
"Michigan",183,"Marquette",1,0,0,0,123,0
"Michigan",87,"Mason",0,0,0,213,0,0
"Michigan",92,"Missaukee",0,0,1,247,45,0
"Michigan",140,"Muskegon",0,0,0,243,0,0
"Michigan",166,"Oakland",1,0,0,209,95,0
"Michigan",139,"Ottawa",0,0,0,189,110,3
"Michigan",115,"Schoolcraft",0,0,0,201,102,0
"Michigan",147,"St. Clair",0,0,0,214,89,0
"Michigan",112,"Tuscola",0,0,0,239,0,0
"Michigan",152,"Washtenaw",1,0,0,240,56,0
"Michigan",156,"Wayne",3,0,3,108,192,1
"Michigan",93,"Wexford",0,0,0,242,0,0
"Minnesota",155,"Anoka",1,0,4,141,34,0
"Minnesota",133,"Becker",0,0,0,109,22,0
"Minnesota",108,"Beltrami",0,0,0,108,61,0
"Minnesota",100,"Blue Earth",0,0,0,112,61,0
"Minnesota",93,"Carlton",0,0,0,116,53,0
"Minnesota",55,"Cass",0,0,0,0,90,0
"Minnesota",49,"Cook",0,0,0,0,86,0
"Minnesota",105,"Crow Wing",0,0,0,117,62,0
"Minnesota",68,"Dakota",0,92,12,0,78,0
"Minnesota",97,"Goodhue",0,0,0,121,0,0
"Minnesota",155,"Hennepin",1,1,8,85,88,0
"Minnesota",129,"Lake",0,0,0,98,64,0
